,사용월,호선명,지하철역,07시-08시 하차인원,08시-09시 하차인원,09시-10시 하차인원,17시-18시 승차인원,18시-19시 승차인원,19시-20시 승차인원,lat,lng
193,201812,06호선,안암,16544,44644,35441,45299,42565,26541,37.586272,127.029005
194,201812,06호선,약수,4992,18880,9635,10000,12740,7632,37.55434,127.010655
195,201812,06호선,역촌,2997,7954,4975,7005,6508,3799,37.606021,126.922744
196,201812,06호선,연신내,0,0,0,2,2,2,37.619001,126.921008
197,201812,06호선,월곡,7798,26500,19536,25783,29865,16921,37.601948,127.041518
198,201812,06호선,월드컵경기장,5060,11536,9528,16400,15895,8655,37.569532,126.899298
199,201812,06호선,응암,10809,18477,14665,29387,27221,16597,37.598605,126.915577
200,201812,06호선,이태원,10436,27910,26423,40070,45087,38735,37.534488,126.994302
201,201812,06호선,증산,5422,12251,9208,17329,16188,9743,37.583876,126.909645
202,201812,06호선,창신,5924,6972,3858,5729,5444,3147,37.579661,127.015241
203,201812,06호선,청구,5515,23324,12790,8368,12308,9164,37.560245,127.013828
204,201812,06호선,태릉입구,4419,8928,8001,10256,9926,6787,37.617983,127.07512
205,201812,06호선,한강진,15925,32640,26221,33294,35713,24702,37.539631,127.001725
206,201812,06호선,합정,17077,42922,26351,38659,53996,37447,37.549463,126.913739
207,201812,06호선,화랑대,7019,14842,10300,21708,17993,9419,37.620064,127.084689
208,201812,06호선,효창공원앞,6964,25370,16814,16405,22859,12008,37.539261,126.961351
209,201812,07호선,가산디지털단지,87015,383515,200900,146116,307695,144188,37.481072,126.882343
210,201812,07호선,강남구청,26671,103319,87728,39371,79597,49209,37.517186,127.04128
211,201812,07호선,건대입구,19637,44690,40315,52506,50958,41180,37.540693,127.07023
212,201812,07호선,고속터미널,37663,60700,49886,62991,67541,50280,37.50481,127.004943
213,201812,07호선,공릉,10990,27117,17673,26075,27284,16197,37.625742,127.072896
214,201812,07호선,광명사거리,18419,29690,26180,45264,43967,29996,37.479252,126.854876
215,201812,07호선,군자,8999,24923,19374,29642,36314,22804,37.557121,127.079542
216,201812,07호선,굴포천,5577,12348,10094,16120,17213,10367,37.506997,126.73128
217,201812,07호선,까치울,4542,10180,6008,12212,12541,7713,37.506207,126.810939
218,201812,07호선,남구로,23905,99534,48189,35593,75710,39007,37.486056,126.887249
219,201812,07호선,남성,6644,16383,13897,19080,18354,11797,37.484596,126.971251
220,201812,07호선,내방,20505,81198,46410,35358,67825,28610,37.487618,126.993513
221,201812,07호선,노원,13232,42485,47083,50582,52952,35966,37.655128,127.061368
222,201812,07호선,논현,40194,120119,97793,49126,96953,60025,37.511093,127.021415
223,201812,07호선,대림,7883,21454,17181,26335,27820,19579,37.49297,126.895801
224,201812,07호선,도봉산,7509,14118,16419,14848,11379,6481,37.689313,127.046222
225,201812,07호선,뚝섬유원지,5746,13607,8443,13930,12827,7911,37.53154,127.066704
226,201812,07호선,마들,7239,11701,9790,16575,13727,8747,37.66494,127.057675
227,201812,07호선,먹골,5076,15055,10790,18402,18831,12698,37.610637,127.077725
228,201812,07호선,면목,9084,25020,17669,25045,24467,18529,37.588579,127.087503
229,201812,07호선,반포,11723,23663,19888,18184,21159,14496,37.508178,127.011727
230,201812,07호선,보라매,18006,39899,17557,22210,30375,13538,37.499872,126.920428
231,201812,07호선,부천시청,13292,27502,21005,30437,31360,21918,37.504631,126.763538
232,201812,07호선,부천종합운동장,4646,11192,4840,8681,11170,5470,37.50538,126.797337
233,201812,07호선,부평구청,11270,12800,7245,21237,18217,11104,37.508336,126.720548
234,201812,07호선,사가정,11192,26503,16421,30751,28705,20324,37.580894,127.088478
235,201812,07호선,삼산체육관,2917,7516,6412,9644,7642,4805,37.506411,126.742153
236,201812,07호선,상도,7518,23511,18334,24299,22849,13205,37.502834,126.94791
237,201812,07호선,상동,11340,30677,30647,33459,36536,24889,37.505781,126.753083
238,201812,07호선,상봉,14814,34650,21742,37267,39551,28874,37.596362,127.085032
239,201812,07호선,수락산,8261,16548,17397,23528,23131,14469,37.67785,127.055315
240,201812,07호선,숭실대입구,9111,31038,25730,35631,29704,19276,37.496029,126.953822
241,201812,07호선,신대방삼거리,13099,35850,22334,27551,34097,19754,37.499701,126.928276
242,201812,07호선,신중동,14611,43335,30218,31953,44783,22463,37.503048,126.77596
243,201812,07호선,신풍,11763,22232,14862,24769,24124,13388,37.50008,126.90993
244,201812,07호선,어린이대공원,13836,51452,36188,45836,42834,25333,37.548014,127.074658
245,201812,07호선,온수,12497,20460,13432,18186,16436,8555,37.492258,126.823388
246,201812,07호선,용마산,3571,8850,6485,9274,8985,5799,37.573647,127.086727
247,201812,07호선,이수,13996,44041,31995,36503,46271,29005,37.486263,126.981989
248,201812,07호선,장승배기,8544,19484,14155,19359,21495,12281,37.504898,126.93915
249,201812,07호선,장암,1353,1741,1575,3814,3187,1723,37.700109,127.053196
250,201812,07호선,중계,15809,30706,19002,24802,21359,12619,37.644583,127.064303
251,201812,07호선,중곡,9704,19975,11434,18689,16976,11188,37.565923,127.08432
252,201812,07호선,중화,8761,23113,13180,20512,22387,13737,37.602545,127.079264
253,201812,07호선,천왕,7169,13383,7658,14470,13387,8267,37.486637,126.838713
254,201812,07호선,철산,15467,33230,27911,43722,45520,27842,37.47605,126.867911
255,201812,07호선,청담,55231,159875,104808,58023,105765,64559,37.519365,127.05335
256,201812,07호선,춘의,26701,50256,15403,25330,41935,16102,37.503663,126.787036
257,201812,07호선,태릉입구,8772,21462,14345,21680,22813,13606,37.617983,127.07512
258,201812,07호선,하계,16526,29277,26365,38170,33687,20153,37.636352,127.06799
259,201812,07호선,학동,45167,174030,130741,59426,146169,77048,37.514229,127.031656
260,201812,08호선,가락시장,11919,38647,19709,19778,29208,15107,37.492522,127.118234
261,201812,08호선,강동구청,12544,35054,15506,22544,31200,13140,37.530341,127.120508
262,201812,08호선,남한산성입구,10647,27432,22956,25555,26749,12848,37.451535,127.159816
263,201812,08호선,단대오거리,10647,20963,11048,19609,23271,13011,37.44521,127.156866
264,201812,08호선,모란,3860,8394,5691,12575,11043,6668,37.43213,127.129087
265,201812,08호선,몽촌토성,7746,26640,18739,15322,22753,11106,37.517409,127.112359
266,201812,08호선,문정,27538,151680,72848,51288,114589,43283,37.485855,127.1225
267,201812,08호선,복정,11102,21231,17258,26732,30252,16284,37.470047,127.126662
268,201812,08호선,산성,4241,9175,5765,11659,8816,4724,37.457122,127.149908
269,201812,08호선,석촌,8336,23475,18752,18519,21588,12437,37.505431,127.106979
270,201812,08호선,송파,12907,20717,10087,15012,15924,7261,37.499703,127.112183
271,201812,08호선,수진,4027,13175,7406,12642,10044,6023,37.437428,127.140722
272,201812,08호선,신흥,3222,5826,4984,10606,8791,5753,37.440918,127.147564
273,201812,08호선,암사,8422,18340,14639,28954,27582,15966,37.55021,127.127562
274,201812,08호선,잠실,25432,69724,47221,52050,68397,46571,37.51395,127.102234
275,201812,08호선,장지,19755,56286,36318,45581,59411,39161,37.478703,127.126191
276,201812,08호선,천호,19124,34116,31150,40140,46262,29656,37.538397,127.123572
277,201812,09호선,가양,24749,38618,23042,42797,43784,23445,37.561391,126.854456
278,201812,09호선,개화,3855,6957,4112,12892,11673,5218,37.578608,126.798153
279,201812,09호선,고속터미널,20034,28627,33067,38704,37524,32747,37.50481,127.004943
280,201812,09호선,공항시장,1919,3325,3291,5203,4801,3133,37.563726,126.810678
281,201812,09호선,구반포,3356,6765,5953,8456,8958,5959,37.501364,126.987332
282,201812,09호선,국회의사당,42146,139600,60353,60636,110801,44225,37.528105,126.917874
283,201812,09호선,김포공항,19249,21285,18073,24534,28169,23022,37.562434,126.801058
284,201812,09호선,노들,2784,4442,4872,8282,7070,3875,37.512887,126.953222
285,201812,09호선,노량진,36244,68402,47346,59520,70660,42910,37.514219,126.942454
286,201812,09호선,당산,14521,38027,22982,39255,47721,28991,37.53438,126.902281
287,201812,09호선,동작,1597,2812,2352,3725,3774,1926,37.502971,126.979306
288,201812,09호선,등촌,6632,17276,12349,18951,19902,10143,37.550632,126.865689
289,201812,09호선,마곡나루,8348,24958,14645,22774,27143,13747,37.567336,126.829497
290,201812,09호선,사평,3731,5734,3361,7822,7669,4376,37.504206,127.015259
291,201812,09호선,샛강,12150,22610,14662,16914,25283,10946,37.517274,126.928422
292,201812,09호선,선유도,9629,34430,14701,17805,32449,11961,37.53802,126.893525
293,201812,09호선,신논현,41783,95018,86536,83670,112837,81362,37.504598,127.02506
294,201812,09호선,신목동,3119,5033,3163,7594,7379,3511,37.544277,126.88308
295,201812,09호선,신반포,6843,8934,6612,8237,8869,5060,37.503415,126.995925
296,201812,09호선,신방화,5556,12350,7476,11714,11753,6706,37.567532,126.816601
297,201812,09호선,양천향교,8408,26403,12723,19890,24018,10830,37.568381,126.841333
298,201812,09호선,여의도,98999,138899,52946,86084,129157,56565,37.521624,126.924191
299,201812,09호선,염창,7935,20312,12357,25746,27395,14726,37.546936,126.874916
300,201812,09호선,증미,6554,31742,13804,15335,30349,10722,37.557402,126.861939
301,201812,09호선,흑석,12005,25170,19235,28533,23589,14830,37.50877,126.963708
302,201812,09호선,둔촌오륜,2227,1600,898,1912,1776,819,37.51951723,127.1387072
303,201812,09호선,봉은사,28091,79062,57584,59363,87314,51453,37.514219,127.060245
304,201812,09호선,삼성중앙,7383,32259,21112,15133,32372,16363,37.513011,127.053282
305,201812,09호선,삼전,2169,4714,3953,8679,8915,5140,37.5044943,127.0874761
306,201812,09호선,석촌,1908,4076,4009,10505,10081,6552,37.505431,127.106979
307,201812,09호선,석촌고분,2201,4662,3816,7986,8381,4639,37.50256612,127.096963
308,201812,09호선,선정릉,13194,41371,32727,20954,40632,23844,37.51098,127.043593
309,201812,09호선,송파나루,1200,4138,3365,6347,7888,4595,37.51030798,127.1122411
310,201812,09호선,언주,12278,40231,40309,29516,46478,24415,37.507287,127.033868
311,201812,09호선,올림픽공원,2239,7281,5256,10752,9603,6439,37.516078,127.130848
312,201812,09호선,종합운동장,3697,7741,7714,11414,12406,8293,37.510997,127.073642
313,201812,09호선,중앙보훈병원,5750,8489,7316,13539,8343,4660,37.52887027,127.1484913
314,201812,09호선,한성백제,725,2769,2953,4501,4901,2437,37.5166082,127.1162587
315,201812,경강선,경기광주,4160,8444,4301,10721,9241,4976,37.399907,126.630347
316,201812,경강선,곤지암,4509,5796,3306,6592,6155,2963,37.351315,127.34674
